time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
7.26,0.0,8.036,0.877,5.6370000000000005,-0.01,0.006999999999999999,0.005,0.5,-8.5,-4.0,8.152999999999999,3.338,14.289000000000001,0.0
7.28,0.020000000000000462,8.006,0.8909999999999999,5.587000000000001,0.002,0.008,-0.001,-0.3,-9.2,-2.2,9.567,2.003,14.78,0.0
7.3,0.040000000000000036,8.046,0.8640000000000001,5.575,-0.002,0.024,-0.004,0.4,-8.6,-4.9,8.582,6.631,11.931,0.0
7.32,0.0600000000000005,7.999,0.8420000000000001,5.607,-0.002,0.022000000000000002,-0.013000000000000001,0.5,-7.9,-2.5,8.611,4.784,12.915999999999999,0.0
7.34,0.08000000000000007,8.047,0.847,5.612,-0.009000000000000001,0.032,-0.011000000000000001,1.3,-8.9,-2.9,10.054,4.3389999999999995,17.213,0.0
7.36,0.10000000000000053,8.087,0.9129999999999999,5.61,-0.013000000000000001,0.031,-0.009000000000000001,-0.1,-9.1,-3.6,9.081,3.364,14.806,0.0
7.38,0.1200000000000001,8.047,0.912,5.603,-0.013000000000000001,0.026000000000000002,-0.015,0.3,-7.6,-2.7,7.22,5.763,14.822000000000001,0.0
7.4,0.14000000000000057,8.075,0.8270000000000001,5.622999999999999,-0.008,0.033,-0.015,0.1,-9.2,-2.9,9.089,4.3260000000000005,13.866,0.0
7.42,0.16000000000000014,7.97,0.847,5.604,-0.016,0.028999999999999998,-0.006999999999999999,-0.0,-9.5,-4.0,9.536,5.709,14.338,0.0
7.44,0.1800000000000006,8.14,0.8270000000000001,5.609,-0.006999999999999999,0.025,-0.01,0.8,-7.9,-2.4,9.567,4.2989999999999995,13.867,0.0
7.46,0.20000000000000018,8.054,0.831,5.591,-0.019,0.028999999999999998,-0.016,0.8,-8.4,-3.0,11.933,6.67,11.497,0.0
7.48,0.22000000000000064,7.977,0.8270000000000001,5.574,-0.016,0.024,-0.009000000000000001,0.7,-8.3,-3.1,10.031,6.678,16.695,0.0
7.5,0.2400000000000002,7.989,0.853,5.638,-0.015,0.025,-0.009000000000000001,1.1,-10.2,-3.7,10.02,3.84,14.821,0.0
7.52,0.2599999999999998,7.985,0.8740000000000001,5.584,-0.012,0.027000000000000003,-0.005,0.9,-10.8,-2.8,7.669,4.298,11.979000000000001,0.0
7.54,0.28000000000000025,8.066,0.868,5.612,-0.009000000000000001,0.023,-0.009000000000000001,0.2,-10.0,-3.3,10.036,4.312,13.876,0.0
7.56,0.2999999999999998,8.017999999999999,0.877,5.601,-0.006,0.026000000000000002,-0.013999999999999999,0.2,-9.2,-3.9,9.078,5.24,15.294,0.0
7.58,0.3200000000000003,8.042,0.867,5.615,-0.004,0.024,-0.009000000000000001,1.2,-10.9,-3.5,9.57,3.839,14.82,0.0
7.6,0.33999999999999986,8.033,0.902,5.591,-0.006,0.025,-0.011000000000000001,-0.3,-9.3,-4.2,8.613999999999999,4.303999999999999,14.349,0.0
7.62,0.3600000000000003,7.987,0.86,5.636,-0.003,0.026000000000000002,-0.011000000000000001,0.8,-8.7,-3.5,9.561,3.827,13.389000000000001,0.0
7.64,0.3799999999999999,7.981,0.828,5.595,-0.004,0.022000000000000002,-0.012,-0.1,-7.6,-4.2,8.611,1.922,11.01,0.0
