time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
5.34,0.0,1.077,9.175,3.032,-0.006,0.023,-0.003,28.5,-55.2,31.0,1.964,14.779000000000002,12.01,0.0
5.36,0.020000000000000462,1.043,9.244,3.054,-0.005,0.024,-0.0,29.9,-55.5,32.3,1.24,12.73,12.907,0.0
5.38,0.040000000000000036,1.125,9.235,3.06,-0.01,-0.001,-0.006,29.1,-53.6,32.1,1.694,12.915999999999999,11.494000000000002,0.0
5.4,0.0600000000000005,1.112,9.137,3.075,-0.005,-0.013000000000000001,-0.002,29.5,-53.9,30.8,1.351,14.661,13.367,0.0
5.42,0.08000000000000007,1.157,9.198,3.062,-0.017,-0.013999999999999999,-0.001,28.1,-54.4,31.5,3.571,13.265999999999998,11.447000000000001,0.0
5.44,0.10000000000000053,1.121,9.193999999999999,3.012,-0.013999999999999999,-0.01,-0.002,28.8,-54.5,32.8,2.766,14.722000000000001,11.481,0.0
5.46,0.1200000000000001,1.133,9.216000000000001,3.0439999999999996,-0.017,-0.016,-0.009000000000000001,27.5,-55.1,32.5,1.671,13.394,11.356,0.0
5.48,0.14000000000000057,1.173,9.167,3.09,-0.018000000000000002,-0.016,-0.011000000000000001,28.9,-55.0,32.1,2.8089999999999997,11.99,12.642000000000001,0.0
5.5,0.16000000000000014,1.14,9.172,3.02,-0.017,0.0,-0.01,29.6,-55.7,31.0,2.097,12.8,13.515,0.0
5.52,0.17999999999999972,1.213,9.214,3.0439999999999996,-0.012,-0.001,-0.015,28.9,-55.9,32.2,2.719,14.4,11.003,0.0
5.54,0.20000000000000018,1.14,9.212,3.092,-0.013999999999999999,-0.008,-0.012,28.0,-54.4,32.2,0.006,11.493,12.913,0.0
5.56,0.21999999999999975,1.166,9.259,3.062,-0.012,-0.013999999999999999,-0.011000000000000001,29.4,-55.0,32.7,0.812,11.526,9.901,0.0
5.58,0.2400000000000002,1.226,9.192,3.051,-0.02,-0.003,-0.009000000000000001,28.4,-55.0,30.6,1.7269999999999999,12.939,11.690999999999999,0.0
5.6,0.2599999999999998,1.254,9.177999999999999,3.05,-0.011000000000000001,0.002,-0.006999999999999999,29.0,-54.4,31.0,0.518,11.800999999999998,12.038,0.0
5.62,0.28000000000000025,1.236,9.141,3.033,-0.009000000000000001,0.011000000000000001,-0.006999999999999999,28.1,-53.7,32.1,3.241,12.593,10.74,0.0
5.64,0.2999999999999998,1.176,9.152999999999999,2.997,-0.006999999999999999,0.005,-0.006999999999999999,29.3,-55.0,31.4,2.2319999999999998,12.054,10.970999999999998,0.0
5.66,0.3200000000000003,1.14,9.121,3.0610000000000004,-0.002,0.001,-0.011000000000000001,28.7,-55.9,31.7,1.033,14.600999999999999,8.839,0.0
5.68,0.33999999999999986,1.172,9.253,3.128,-0.003,0.004,-0.018000000000000002,28.7,-55.9,30.9,2.9410000000000003,11.694,10.382,0.0
5.7,0.3600000000000003,1.248,9.201,3.116,-0.005,0.006999999999999999,-0.01,29.2,-54.3,31.6,2.392,13.956,10.960999999999999,0.0
5.72,0.3799999999999999,1.22,9.16,3.0439999999999996,-0.017,0.001,-0.011000000000000001,29.2,-54.3,31.6,1.3219999999999998,12.212,12.578,0.0
5.74,0.40000000000000036,1.226,9.174,3.1069999999999998,-0.013999999999999999,-0.006999999999999999,-0.006999999999999999,28.6,-54.0,31.7,2.801,14.248,10.864,0.0
5.76,0.41999999999999993,1.204,9.152999999999999,3.1,-0.015,-0.013000000000000001,0.006,28.7,-54.1,32.9,3.8080000000000003,13.145999999999999,11.318,0.0
5.78,0.4400000000000004,1.2009999999999998,9.156,3.05,-0.013999999999999999,-0.024,0.003,28.5,-55.0,31.5,0.9259999999999999,11.24,10.494000000000002,0.0
5.8,0.45999999999999996,1.137,9.169,3.113,-0.016,-0.01,-0.002,29.8,-54.8,31.1,1.4369999999999998,14.339,12.444,0.0
5.82,0.4800000000000004,1.1440000000000001,9.138,3.069,-0.019,-0.004,-0.004,28.9,-55.3,31.7,2.9130000000000003,13.83,11.481,0.0
5.84,0.5,1.1340000000000001,9.064,3.1069999999999998,-0.018000000000000002,0.001,-0.012,28.2,-55.2,31.0,1.886,13.687000000000001,12.039000000000001,0.0
5.86,0.5200000000000005,1.074,9.133,3.077,-0.016,0.011000000000000001,-0.017,28.8,-54.2,31.6,1.551,12.515,14.081,0.0
5.88,0.54,1.195,9.091000000000001,3.073,-0.012,0.01,-0.021,28.8,-55.2,30.5,1.435,13.808,11.59,0.0
5.9,0.5600000000000005,1.138,9.172,3.0580000000000003,-0.013999999999999999,0.009000000000000001,-0.022000000000000002,29.4,-54.8,31.3,0.512,12.249,12.215,0.0
5.92,0.5800000000000001,1.193,9.201,3.054,-0.013000000000000001,0.006,-0.013999999999999999,29.3,-54.6,31.6,1.661,12.841,12.915999999999999,0.0
5.94,0.6000000000000005,1.171,9.22,3.068,-0.015,-0.006,-0.017,29.7,-53.5,31.6,2.057,13.06,11.959000000000001,0.0
5.96,0.6200000000000001,1.161,9.22,3.092,-0.015,-0.005,-0.018000000000000002,28.9,-55.0,32.2,2.79,12.876,11.520999999999999,0.0
5.98,0.6400000000000006,1.143,9.147,3.09,-0.013000000000000001,-0.012,-0.019,28.4,-55.5,31.4,1.547,14.494000000000002,9.679,0.0
6.0,0.6600000000000001,1.1540000000000001,9.12,2.9530000000000003,-0.016,-0.013000000000000001,-0.017,27.4,-55.3,31.0,1.4,13.324000000000002,9.78,0.0
6.02,0.6799999999999997,1.1640000000000001,9.041,3.0410000000000004,-0.011000000000000001,-0.024,-0.02,28.1,-54.8,32.1,2.07,12.255,11.777000000000001,0.0
6.04,0.7000000000000002,1.3030000000000002,9.168,3.0639999999999996,-0.01,-0.006999999999999999,-0.036000000000000004,28.3,-54.8,32.0,1.435,12.042,13.312000000000001,0.0
6.06,0.7199999999999998,1.143,9.156,3.056,-0.006,0.004,-0.03,29.7,-55.8,32.4,2.394,14.350999999999999,9.091000000000001,0.0
6.08,0.7400000000000002,1.192,9.124,3.137,-0.001,0.009000000000000001,-0.023,28.7,-53.3,31.7,1.662,13.620999999999999,12.292,0.0
6.1,0.7599999999999998,1.207,9.184,3.0980000000000003,-0.004,0.012,-0.023,29.5,-55.6,31.4,2.099,13.58,10.339,0.0
