time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
3.96,0.019999999999999574,7.957999999999999,0.745,5.778,0.013999999999999999,0.023,0.016,-54.8,-35.6,-32.0,10.312000000000001,3.137,17.33,0.0
3.98,0.03999999999999959,7.905,0.7609999999999999,5.852,0.015,0.016,0.013000000000000001,-55.4,-35.7,-32.4,11.544,5.167999999999999,17.857,0.0
4.0,0.05999999999999961,7.903,0.733,5.777,0.016,0.026000000000000002,0.013000000000000001,-55.3,-35.7,-31.7,10.667,4.102,16.336,0.0
4.02,0.07999999999999918,7.952000000000001,0.644,5.792000000000001,0.013999999999999999,0.028999999999999998,0.013000000000000001,-55.0,-35.2,-32.0,10.484000000000002,5.022,19.335,0.0
4.04,0.09999999999999964,7.94,0.6709999999999999,5.797999999999999,0.016,0.017,0.013999999999999999,-54.8,-34.5,-30.5,12.526,5.546,16.459,0.0
4.06,0.11999999999999922,7.976,0.6920000000000001,5.83,0.019,0.016,0.019,-56.4,-34.7,-31.0,9.43,4.784,17.319000000000003,0.0
4.08,0.13999999999999968,7.943,0.727,5.817,0.02,0.011000000000000001,0.013999999999999999,-55.2,-35.4,-31.7,9.673,4.572,17.805999999999997,0.0
4.1,0.15999999999999925,7.926,0.669,5.751,0.023,0.012,0.017,-56.3,-35.8,-32.5,12.017000000000001,5.2620000000000005,16.858,0.0
4.12,0.17999999999999972,7.93,0.736,5.803999999999999,0.019,0.017,0.015,-57.0,-35.1,-31.9,9.691,3.8810000000000002,15.663,0.0
4.14,0.1999999999999993,7.934,0.752,5.76,0.02,0.018000000000000002,0.017,-55.5,-35.8,-31.6,13.065,6.517,16.941,0.0
4.16,0.21999999999999975,7.952999999999999,0.72,5.785,0.031,0.015,0.016,-55.5,-34.0,-31.2,10.974,6.05,17.502,0.0
4.18,0.23999999999999932,7.9239999999999995,0.6729999999999999,5.78,0.024,0.018000000000000002,0.01,-54.6,-36.6,-32.2,11.555,2.211,17.955,0.0
4.2,0.2599999999999998,7.912000000000001,0.738,5.8,0.021,0.018000000000000002,0.019,-56.1,-35.2,-31.7,10.845,5.74,16.749000000000002,0.0
4.22,0.27999999999999936,7.9639999999999995,0.715,5.834,0.02,0.021,0.02,-55.3,-34.7,-31.9,10.046,3.91,15.557,0.0
4.24,0.2999999999999998,8.025,0.754,5.779,0.024,0.025,0.013999999999999999,-55.4,-33.6,-33.5,11.677999999999999,4.981,18.831,0.0
4.26,0.3199999999999994,7.97,0.6809999999999999,5.854,0.021,0.022000000000000002,0.006999999999999999,-56.4,-34.5,-31.3,11.573,5.445,18.84,0.0
4.28,0.33999999999999986,7.938,0.768,5.822,0.023,0.02,0.013999999999999999,-56.1,-34.6,-31.6,12.2,6.362,18.61,0.0
4.3,0.35999999999999943,7.85,0.6659999999999999,5.872000000000001,0.018000000000000002,0.021,0.005,-56.3,-34.6,-31.7,9.968,2.615,18.0,0.0
4.32,0.3799999999999999,7.947,0.654,5.88,0.011000000000000001,0.02,0.006999999999999999,-55.6,-35.7,-32.3,11.062999999999999,4.096,17.160999999999998,0.0
4.34,0.39999999999999947,7.945,0.6759999999999999,5.809,0.012,0.019,0.01,-55.5,-34.3,-30.7,11.415,3.3489999999999998,19.461,0.0
