file,window_idx,mean_ax_m/s/s,mean_ay_m/s/s,mean_az_m/s/s,mean_gx_deg/s,mean_gy_deg/s,mean_gz_deg/s,std_ax_m/s/s,std_ay_m/s/s,std_az_m/s/s,std_gx_deg/s,std_gy_deg/s,std_gz_deg/s,sma,dominant_freq_ax_m/s/s,dominant_freq_ay_m/s/s,dominant_freq_az_m/s/s,dominant_freq_gx_deg/s,dominant_freq_gy_deg/s,dominant_freq_gz_deg/s,activity
A001_1585,0,2.682741803920675,-9.931248351024184,3.3364734554500437,-0.02265564098184316,0.028487584778319204,0.6839594036031776,0.4316996200403185,1.1542219193557706,1.4498253045449598,0.24234790796272077,0.16669674775650728,0.7248835883382778,15.9504636103949,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
A001_1585,1,2.4784928461146647,-10.788069060344263,3.004372532616084,0.2500846734794798,-0.1947532962219504,-0.9429228103873174,0.6251908079622098,1.0972282753075426,1.758154491139176,0.34298514195623303,0.4313828339986547,1.3929827111318833,16.270934439075013,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
A011_1585,0,1.9561892986802492,-9.579382944992302,2.3330741198999276,-0.024269530616361997,-0.0006394146847822585,0.03496008318205507,0.05659693681833733,0.020409579161738033,0.11424588820470118,0.006287645549872288,0.021522491325586052,0.007357002733013815,13.868646363572475,4.000000000000085,4.000000000000085,2.0000000000000426,2.0000000000000426,4.000000000000085,2.0000000000000426,walk
A011_1585,1,1.8135547319247747,-9.446231446281034,2.6823001149220227,-0.011335662912556553,-0.0764446191962833,0.03160649736873308,0.24969407643228336,0.2066132717245177,0.34652879243553425,0.03012569204792289,0.08731660098798594,0.016246008637612393,13.94208629312783,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,6.000000000000128,walk
A111_1585,0,3.4612167017071354,-9.35823020962259,1.0515882855440435,-0.0073736397014857805,-0.00011710077088592648,0.01820276960396117,0.015853441884115697,0.014393888957852354,0.019254209473152366,0.0022517056706058544,0.003969808432465873,0.0025955134259617813,13.871035196873766,4.000000000000085,4.000000000000085,2.0000000000000426,2.0000000000000426,4.000000000000085,4.000000000000085,walk
A111_1585,1,3.4670861242000326,-9.358618699435544,1.0578093929403978,-0.006710501902351404,-0.004369216798189805,0.01877378807044328,0.02422756466498104,0.010037138017246122,0.00637597286079045,0.0019952472358857366,0.007553554368008744,0.0021134601861001984,13.883514216575975,4.000000000000085,2.0000000000000426,4.000000000000085,2.0000000000000426,4.000000000000085,4.000000000000085,walk
B001_1585,0,1.5511730822501781,-9.185724064060981,3.772891236756717,0.12406003061323059,-0.5442897073259219,0.31707043847655253,0.20621648861060468,0.2551737812654314,0.14615389379073684,0.09381932645410143,0.2202409655533701,0.100827719542377,14.509788383067876,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B001_1585,1,1.4159620721286907,-9.075230381869366,3.8549484904692077,0.0718854756155745,-0.7210970538254302,0.38631897205705756,0.3230702643287069,0.511391519446249,0.14830136603852304,0.281565057844515,0.45396291497713637,0.050426678435591704,14.346140944467265,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B001_1585,2,1.248103789966279,-9.09915923182581,4.580407216936433,-0.28355805090516023,-0.17799860429713213,0.2444817899900979,0.4018181003112096,0.8657467832838295,0.8471984564849812,0.38297308762343196,0.765461284860001,0.14053287356058575,14.927670238728524,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B002_1585,0,1.9880164178395054,-9.343383264613998,3.4238230137267736,-0.14068939570376673,0.0038770837988700534,0.2829522138563667,0.30172134904214676,0.2846121325688156,0.46635571634974826,0.10806079961613169,0.43043060912602427,0.22389017681088827,14.755222696180276,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B002_1585,1,1.927446236957443,-10.150923496035238,3.322226104584624,0.045601058380965356,-0.4620103774506502,0.387932052250831,0.4175848464995103,1.3535113766253106,0.4542827558442629,0.17237950930414114,0.22815010646914374,0.19240643725984521,15.400595837577304,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,4.000000000000085,walk
B003_1585,0,1.9045879139540842,-9.305719337614706,3.3970413921317504,-0.04768842956647652,0.016537363301462132,0.11107515061391542,0.11662961686145623,0.05711562307360904,0.11385487982440733,0.032326630007889795,0.018339818320267792,0.08634330821585708,14.60734864370054,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B003_1585,1,1.927125722430015,-9.345215521123661,3.554608555905882,-0.03373566328809359,-0.06373156937299455,0.2115715177654175,0.21167840731603532,0.13172353224543396,0.14454990344556767,0.06526554562122597,0.13035800681243942,0.05048368503203327,14.826949799459562,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
B003_1585,2,1.3918715603659235,-9.285595023558725,3.8482759219084284,0.014092020437913974,-0.23893359260466462,0.2132721935354102,0.5840785824834759,0.29387752668412953,0.2698838393791654,0.12914295134862436,0.28537067853028697,0.06144151199723229,14.525742505833078,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,walk
B011_1585,0,2.5560216822721666,-9.043831635178035,3.667257583840057,0.059388335620010106,-0.22479266387263597,0.14674469839953003,0.08862894563641005,0.09394515239595545,0.18115940025290178,0.10964537709780978,0.1989011969860761,0.09384184395745261,15.267110901290264,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,4.000000000000085,2.0000000000000426,walk
